ANO_ENTREGA;COMUNA;DIRECCION;ESTADO;FECHA_ENTR;FECHA_PUBLICACION;INMOBILIARIA;MODALIDAD;N_BANOS;N_DORMITORIOS;MONEDA;REGION;TIPO;PRECIO_DESPLIEGUE;UF;UF_DESDE;UF_HASTA;M2_TOTALES;M2_CONSTRUIDOS;M2_DESDE;M2_HASTA
;CONCON;AV CONCON RENACA;USADA;;07-03-2019;;ARRIENDO;1;1;UF;V;OFICINAS;UF 8,98;8,98;;;;15;;
;CONCON;AV CONCON RENACA - LAURA BARROS;USADA;;12-06-2019;;ARRIENDO;1;1;UF;V;OFICINAS;UF 8,99;8,99;;;;15;;
;VILLA ALEMANA;AVENIDA VALPARAISO 1615;USADA;;06-06-2019;;ARRIENDO;1;;UF;V;OFICINAS;UF 9,00;9,00;;;;15;;
;VALPARAISO;PRAT 865 - OFICINA 33;USADA;;17-05-2019;;ARRIENDO;1;1;UF;V;OFICINAS;UF 9,00;9,00;;;;36;;
;VALPARAISO;PRAT 7;USADA;;30-05-2019;;ARRIENDO;1;1;UF;V;OFICINAS;UF 9,01;9,01;;;;45;;
;VILLA ALEMANA;AVENIDA VALPARAISO-VILLA ALEMANA;USADA;;30-05-2019;;ARRIENDO;2;1;UF;V;OFICINAS;UF 9,01;9,01;;;;15;;
;VINA DEL MAR;COSTA URBANA / PLANTA DE OFICINAS EN SANTA INES;USADA;;22-05-2019;;ARRIENDO;3;3;UF;V;OFICINAS;UF 9,01;9,01;;;;160;;
;CONCON;AV. CON CON RENACA;USADA;;17-05-2019;;ARRIENDO;1;1;UF;V;OFICINAS;UF 9,01;9,01;;;;24;;
;QUILLOTA;ANIBAL PINTO 258;USADA;;15-05-2019;;ARRIENDO;;;UF;V;OFICINAS;UF 9,02;9,02;;;;8;;
;SAN FELIPE;PORTUS 111;USADA;;24-05-2017;;ARRIENDO;2;2;UF;V;OFICINAS;UF 9,08;9,08;;;;12;;
;VINA DEL MAR;VILLANELO #180 ESQUINA CALLE VALPARAISO;USADA;;09-05-2019;;ARRIENDO;1;1;UF;V;OFICINAS;UF 9,35;9,35;;;;26;;
;VALPARAISO;PRAT 865 - OFICINA 42;USADA;;22-05-2019;;ARRIENDO;1;1;UF;V;OFICINAS;UF 9,50;9,50;;;;39;;
;CONCON;AVN CONCON RENACA;USADA;;18-05-2017;;ARRIENDO;1;;UF;V;OFICINAS;UF 9,50;9,50;;;;24;;
;VINA DEL MAR;PONIENTE;USADA;;10-06-2019;;ARRIENDO;1;1;UF;V;OFICINAS;UF 9,71;9,71;;;;30;;
